name,tree,repl,model,logl,df,aic,aicc,bic
PF01676,NA,NA,mtZOA+F+I+G4,5942.616,74,12033.232,12235.050,12245.429
PF01676,NA,NA,VT,5948.134,53,12002.267,12077.583,12154.247
PF01676,NA,NA,VT+I,5882.226,54,11872.453,11951.653,12027.300
PF01676,NA,NA,VT+G4,5805.645,54,11719.290,11798.490,11874.137
PF01676,NA,NA,VT+I+G4,5795.721,55,11701.441,11784.685,11859.156
PF01676,NA,NA,VT+F,5962.512,72,12069.025,12253.446,12275.487
PF01676,NA,NA,VT+F+I,5900.530,73,11947.059,12139.988,12156.389
PF01676,NA,NA,VT+F+G4,5821.640,73,11789.280,11982.209,11998.610
PF01676,NA,NA,VT+F+I+G4,5812.629,74,11773.257,11975.076,11985.455
PF01676,NA,NA,LG,6006.133,53,12118.266,12193.582,12270.245
PF01676,NA,NA,LG+I,5931.597,54,11971.195,12050.395,12126.042
PF01676,NA,NA,LG+G4,5810.166,54,11728.332,11807.532,11883.179
PF01676,NA,NA,LG+I+G4,5802.602,55,11715.203,11798.446,11872.917
PF01676,NA,NA,LG+F,6017.876,72,12179.751,12364.172,12386.214
PF01676,NA,NA,LG+F+I,5949.568,73,12045.136,12238.064,12254.466
PF01676,NA,NA,LG+F+G4,5826.836,73,11799.671,11992.600,12009.001
PF01676,NA,NA,LG+F+I+G4,5820.402,74,11788.804,11990.622,12001.002
PF01676,NA,NA,DCMut,6132.821,53,12371.642,12446.958,12523.621
PF01676,NA,NA,DCMut+I,6051.625,54,12211.250,12290.450,12366.097
PF01676,NA,NA,DCMut+G4,5927.214,54,11962.428,12041.628,12117.275
PF01676,NA,NA,DCMut+I+G4,5918.540,55,11947.081,12030.324,12104.795
PF01676,NA,NA,DCMut+F,6166.101,72,12476.202,12660.623,12682.665
PF01676,NA,NA,DCMut+F+I,6083.435,73,12312.870,12505.798,12522.200
PF01676,NA,NA,DCMut+F+G4,5947.753,73,12041.507,12234.435,12250.837
PF01676,NA,NA,DCMut+F+I+G4,5939.066,74,12026.132,12227.950,12238.330
PF01676,NA,NA,PMB,5916.021,53,11938.042,12013.357,12090.021
PF01676,NA,NA,PMB+I,5866.874,54,11841.749,11920.949,11996.595
PF01676,NA,NA,PMB+G4,5807.415,54,11722.830,11802.030,11877.677
PF01676,NA,NA,PMB+I+G4,5798.493,55,11706.985,11790.228,11864.699
PF01676,NA,NA,PMB+F,5918.657,72,11981.314,12165.735,12187.777
PF01676,NA,NA,PMB+F+I,5868.729,73,11883.458,12076.386,12092.788
PF01676,NA,NA,PMB+F+G4,5806.161,73,11758.322,11951.251,11967.652
PF01676,NA,NA,PMB+F+I+G4,5797.492,74,11742.983,11944.801,11955.181
PF01676,NA,NA,HIVb,6255.554,53,12617.108,12692.423,12769.087
PF01676,NA,NA,HIVb+I,6154.639,54,12417.278,12496.478,12572.125
PF01676,NA,NA,HIVb+G4,6002.022,54,12112.045,12191.245,12266.892
PF01676,NA,NA,HIVb+I+G4,5991.977,55,12093.955,12177.198,12251.669
PF01676,NA,NA,HIVb+F,6276.183,72,12696.365,12880.786,12902.828
PF01676,NA,NA,HIVb+F+I,6187.280,73,12520.559,12713.488,12729.889
PF01676,NA,NA,HIVb+F+G4,6015.723,73,12177.447,12370.376,12386.777
PF01676,NA,NA,HIVb+F+I+G4,6008.235,74,12164.469,12366.288,12376.667
PF01676,NA,NA,HIVw,6477.284,53,13060.568,13135.884,13212.547
PF01676,NA,NA,HIVw+I,6364.496,54,12836.993,12916.193,12991.839
PF01676,NA,NA,HIVw+G4,6225.541,54,12559.083,12638.283,12713.930
PF01676,NA,NA,HIVw+I+G4,6212.077,55,12534.155,12617.398,12691.869
PF01676,NA,NA,HIVw+F,6406.832,72,12957.663,13142.084,13164.126
PF01676,NA,NA,HIVw+F+I,6319.656,73,12785.312,12978.241,12994.642
PF01676,NA,NA,HIVw+F+G4,6149.107,73,12444.214,12637.142,12653.544
PF01676,NA,NA,HIVw+F+I+G4,6142.088,74,12432.175,12633.993,12644.373
PF01676,NA,NA,JTTDCMut,6084.047,53,12274.094,12349.409,12426.073
PF01676,NA,NA,JTTDCMut+I,6003.406,54,12114.812,12194.012,12269.659
PF01676,NA,NA,JTTDCMut+G4,5882.338,54,11872.676,11951.876,12027.523
PF01676,NA,NA,JTTDCMut+I+G4,5873.676,55,11857.351,11940.594,12015.066
PF01676,NA,NA,JTTDCMut+F,6111.382,72,12366.765,12551.186,12573.227
PF01676,NA,NA,JTTDCMut+F+I,6035.376,73,12216.752,12409.680,12426.082
PF01676,NA,NA,JTTDCMut+F+G4,5906.036,73,11958.073,12151.001,12167.403
PF01676,NA,NA,JTTDCMut+F+I+G4,5898.314,74,11944.627,12146.446,12156.825
PF01676,NA,NA,FLU,6230.174,53,12566.347,12641.663,12718.327
PF01676,NA,NA,FLU+I,6140.842,54,12389.683,12468.883,12544.530
PF01676,NA,NA,FLU+G4,6022.006,54,12152.012,12231.212,12306.859
PF01676,NA,NA,FLU+I+G4,6009.377,55,12128.754,12211.997,12286.468
PF01676,NA,NA,FLU+F,6214.413,72,12572.826,12757.247,12779.289
PF01676,NA,NA,FLU+F+I,6139.568,73,12425.136,12618.064,12634.466
PF01676,NA,NA,FLU+F+G4,6002.335,73,12150.669,12343.598,12359.999
PF01676,NA,NA,FLU+F+I+G4,5993.753,74,12135.506,12337.324,12347.704
PF01676,NA,NA,Blosum62,5907.623,53,11921.246,11996.562,12073.225
PF01676,NA,NA,Blosum62+I,5858.923,54,11825.845,11905.045,11980.692
PF01676,NA,NA,Blosum62+G4,5793.484,54,11694.967,11774.167,11849.814
PF01676,NA,NA,Blosum62+I+G4,5785.291,55,11680.583,11763.826,11838.297
PF01676,NA,NA,Blosum62+F,5918.700,72,11981.400,12165.821,12187.862
PF01676,NA,NA,Blosum62+F+I,5869.815,73,11885.630,12078.558,12094.960
PF01676,NA,NA,Blosum62+F+G4,5804.207,73,11754.413,11947.342,11963.743
PF01676,NA,NA,Blosum62+F+I+G4,5796.168,74,11740.337,11942.155,11952.534
PF01676,NA,NA,mtMet,6441.429,53,12988.858,13064.174,13140.837
PF01676,NA,NA,mtMet+I,6378.306,54,12864.612,12943.812,13019.459
PF01676,NA,NA,mtMet+G4,6182.272,54,12472.545,12551.745,12627.392
PF01676,NA,NA,mtMet+I+G4,6181.195,55,12472.390,12555.634,12630.105
PF01676,NA,NA,mtMet+F,6250.146,72,12644.292,12828.713,12850.755
PF01676,NA,NA,mtMet+F+I,6175.096,73,12496.192,12689.121,12705.522
PF01676,NA,NA,mtMet+F+G4,5976.928,73,12099.857,12292.785,12309.187
PF01676,NA,NA,mtMet+F+I+G4,5974.391,74,12096.783,12298.601,12308.980
PF01676,NA,NA,mtVer,6565.617,53,13237.233,13312.549,13389.213
PF01676,NA,NA,mtVer+I,6471.333,54,13050.666,13129.866,13205.513
PF01676,NA,NA,mtVer+G4,6239.780,54,12587.560,12666.760,12742.407
PF01676,NA,NA,mtVer+I+G4,6238.118,55,12586.237,12669.480,12743.951
PF01676,NA,NA,mtVer+F,6382.799,72,12909.598,13094.019,13116.060
PF01676,NA,NA,mtVer+F+I,6278.722,73,12703.444,12896.373,12912.774
PF01676,NA,NA,mtVer+F+G4,6048.883,73,12243.767,12436.695,12453.097
PF01676,NA,NA,mtVer+F+I+G4,6044.977,74,12237.953,12439.771,12450.151
PF01676,NA,NA,mtInv,6424.569,53,12955.137,13030.453,13107.116
PF01676,NA,NA,mtInv+I,6371.649,54,12851.299,12930.499,13006.146
PF01676,NA,NA,mtInv+G4,6205.515,54,12519.030,12598.230,12673.876
PF01676,NA,NA,mtInv+I+G4,6203.795,55,12517.591,12600.834,12675.305
PF01676,NA,NA,mtInv+F,6160.474,72,12464.949,12649.370,12671.411
PF01676,NA,NA,mtInv+F+I,6094.988,73,12335.976,12528.905,12545.306
PF01676,NA,NA,mtInv+F+G4,5926.817,73,11999.635,12192.563,12208.965
PF01676,NA,NA,mtInv+F+I+G4,5923.400,74,11994.800,12196.618,12206.997
PF00756,NA,NA,Dayhoff,11603.151,39,23284.301,23294.807,23433.285
PF00756,NA,NA,Dayhoff+I,11576.125,40,23232.249,23243.330,23385.052
PF00756,NA,NA,Dayhoff+G4,11449.282,40,22978.565,22989.646,23131.368
PF00756,NA,NA,Dayhoff+I+G4,11441.835,41,22965.669,22977.344,23122.292
PF00756,NA,NA,Dayhoff+F,11520.040,58,23156.080,23180.699,23377.645
PF00756,NA,NA,Dayhoff+F+I,11493.472,59,23104.945,23130.504,23330.330
PF00756,NA,NA,Dayhoff+F+G4,11366.323,59,22850.647,22876.206,23076.032
PF00756,NA,NA,Dayhoff+F+I+G4,11359.436,60,22838.873,22865.394,23068.078
PF00756,NA,NA,mtMAM,12574.363,39,25226.726,25237.231,25375.710
PF00756,NA,NA,mtMAM+I,12540.209,40,25160.417,25171.498,25313.221
PF00756,NA,NA,mtMAM+G4,12204.859,40,24489.718,24500.799,24642.521
PF00756,NA,NA,mtMAM+I+G4,12200.186,41,24482.372,24494.047,24638.996
PF00756,NA,NA,mtMAM+F,11934.803,58,23985.606,24010.225,24207.171
PF00756,NA,NA,mtMAM+F+I,11903.757,59,23925.515,23951.074,24150.900
PF00756,NA,NA,mtMAM+F+G4,11644.155,59,23406.310,23431.870,23631.695
PF00756,NA,NA,mtMAM+F+I+G4,11637.895,60,23395.790,23422.312,23624.995
PF00756,NA,NA,JTT,11537.475,39,23152.951,23163.456,23301.934
PF00756,NA,NA,JTT+I,11512.817,40,23105.635,23116.716,23258.438
PF00756,NA,NA,JTT+G4,11391.453,40,22862.906,22873.987,23015.709
PF00756,NA,NA,JTT+I+G4,11385.037,41,22852.074,22863.749,23008.698
PF00756,NA,NA,JTT+F,11490.712,58,23097.424,23122.043,23318.989
PF00756,NA,NA,JTT+F+I,11465.426,59,23048.853,23074.412,23274.238
PF00756,NA,NA,JTT+F+G4,11351.578,59,22821.155,22846.715,23046.540
PF00756,NA,NA,JTT+F+I+G4,11344.708,60,22809.416,22835.938,23038.621
PF00756,NA,NA,WAG,11390.698,39,22859.396,22869.901,23008.379
PF00756,NA,NA,WAG+I,11370.734,40,22821.469,22832.550,22974.272
PF00756,NA,NA,WAG+G4,11285.117,40,22650.234,22661.315,22803.037
PF00756,NA,NA,WAG+I+G4,11278.974,41,22639.948,22651.623,22796.571
PF00756,NA,NA,WAG+F,11341.023,58,22798.047,22822.666,23019.612
PF00756,NA,NA,WAG+F+I,11321.300,59,22760.601,22786.161,22985.986
PF00756,NA,NA,WAG+F+G4,11241.576,59,22601.152,22626.712,22826.537
PF00756,NA,NA,WAG+F+I+G4,11235.373,60,22590.747,22617.269,22819.952
PF00756,NA,NA,cpREV,11511.372,39,23100.744,23111.249,23249.727
PF00756,NA,NA,cpREV+I,11488.192,40,23056.384,23067.466,23209.188
PF00756,NA,NA,cpREV+G4,11403.142,40,22886.284,22897.365,23039.088
PF00756,NA,NA,cpREV+I+G4,11395.354,41,22872.707,22884.382,23029.331
PF00756,NA,NA,cpREV+F,11408.248,58,22932.497,22957.115,23154.061
PF00756,NA,NA,cpREV+F+I,11383.367,59,22884.735,22910.294,23110.120
PF00756,NA,NA,cpREV+F+G4,11307.251,59,22732.503,22758.062,22957.888
PF00756,NA,NA,cpREV+F+I+G4,11298.396,60,22716.792,22743.314,22945.997
PF00756,NA,NA,mtREV,12219.601,39,24517.202,24527.707,24666.185
PF00756,NA,NA,mtREV+I,12191.449,40,24462.898,24473.979,24615.701
PF00756,NA,NA,mtREV+G4,11980.260,40,24040.521,24051.602,24193.324
PF00756,NA,NA,mtREV+I+G4,11973.682,41,24029.363,24041.038,24185.987
PF00756,NA,NA,mtREV+F,11620.908,58,23357.816,23382.434,23579.380
PF00756,NA,NA,mtREV+F+I,11594.386,59,23306.773,23332.332,23532.157
PF00756,NA,NA,mtREV+F+G4,11439.231,59,22996.462,23022.022,23221.847
PF00756,NA,NA,mtREV+F+I+G4,11431.585,60,22983.169,23009.691,23212.374
PF00756,NA,NA,rtREV,11541.769,39,23161.538,23172.043,23310.521
PF00756,NA,NA,rtREV+I,11516.530,40,23113.061,23124.142,23265.864
PF00756,NA,NA,rtREV+G4,11399.189,40,22878.377,22889.459,23031.181
PF00756,NA,NA,rtREV+I+G4,11391.511,41,22865.022,22876.696,23021.645
PF00756,NA,NA,rtREV+F,11425.323,58,22966.645,22991.264,23188.210
PF00756,NA,NA,rtREV+F+I,11400.006,59,22918.011,22943.571,23143.396
PF00756,NA,NA,rtREV+F+G4,11289.211,59,22696.422,22721.982,22921.807
PF00756,NA,NA,rtREV+F+I+G4,11281.307,60,22682.613,22709.135,22911.818
PF00756,NA,NA,mtART,12519.012,39,25116.024,25126.529,25265.007
PF00756,NA,NA,mtART+I,12486.231,40,25052.462,25063.544,25205.266
PF00756,NA,NA,mtART+G4,12180.326,40,24440.652,24451.733,24593.455
PF00756,NA,NA,mtART+I+G4,12176.601,41,24435.203,24446.877,24591.826
PF00756,NA,NA,mtART+F,11856.769,58,23829.537,23854.156,24051.102
PF00756,NA,NA,mtART+F+I,11820.335,59,23758.670,23784.229,23984.055
PF00756,NA,NA,mtART+F+G4,11544.918,59,23207.837,23233.396,23433.222
PF00756,NA,NA,mtART+F+I+G4,11536.657,60,23193.313,23219.835,23422.518
PF00756,NA,NA,mtZOA,12166.975,39,24411.950,24422.456,24560.934
PF00756,NA,NA,mtZOA+I,12132.462,40,24344.924,24356.005,24497.728
PF00756,NA,NA,mtZOA+G4,11877.621,40,23835.242,23846.323,23988.045
PF00756,NA,NA,mtZOA+I+G4,11872.328,41,23826.656,23838.330,23983.279
PF00756,NA,NA,mtZOA+F,11679.507,58,23475.015,23499.633,23696.580
PF00756,NA,NA,mtZOA+F+I,11643.249,59,23404.497,23430.057,23629.882
PF00756,NA,NA,mtZOA+F+G4,11421.081,59,22960.163,22985.723,23185.548
PF00756,NA,NA,mtZOA+F+I+G4,11412.820,60,22945.640,22972.161,23174.845
PF00756,NA,NA,VT,11402.842,39,22883.683,22894.188,23032.666
PF00756,NA,NA,VT+I,11383.840,40,22847.679,22858.760,23000.482
PF00756,NA,NA,VT+G4,11301.703,40,22683.405,22694.486,22836.209
PF00756,NA,NA,VT+I+G4,11296.065,41,22674.131,22685.806,22830.754
PF00756,NA,NA,VT+F,11346.294,58,22808.587,22833.206,23030.152
PF00756,NA,NA,VT+F+I,11326.844,59,22771.688,22797.247,22997.073
PF00756,NA,NA,VT+F+G4,11252.230,59,22622.459,22648.019,22847.844
PF00756,NA,NA,VT+F+I+G4,11246.116,60,22612.233,22638.755,22841.438
PF00756,NA,NA,LG,11471.870,39,23021.740,23032.245,23170.724
PF00756,NA,NA,LG+I,11447.639,40,22975.279,22986.360,23128.082
PF00756,NA,NA,LG+G4,11319.444,40,22718.889,22729.970,22871.692
PF00756,NA,NA,LG+I+G4,11313.155,41,22708.311,22719.985,22864.934
PF00756,NA,NA,LG+F,11398.792,58,22913.584,22938.202,23135.149
PF00756,NA,NA,LG+F+I,11373.788,59,22865.576,22891.135,23090.961
PF00756,NA,NA,LG+F+G4,11255.575,59,22629.151,22654.710,22854.536
PF00756,NA,NA,LG+F+I+G4,11248.594,60,22617.188,22643.710,22846.393
PF00756,NA,NA,DCMut,11601.975,39,23281.951,23292.456,23430.934
PF00756,NA,NA,DCMut+I,11575.056,40,23230.111,23241.192,23382.915
PF00756,NA,NA,DCMut+G4,11448.674,40,22977.348,22988.429,23130.152
PF00756,NA,NA,DCMut+I+G4,11441.242,41,22964.483,22976.158,23121.107
PF00756,NA,NA,DCMut+F,11519.092,58,23154.184,23178.803,23375.749
PF00756,NA,NA,DCMut+F+I,11492.604,59,23103.207,23128.767,23328.592
PF00756,NA,NA,DCMut+F+G4,11365.852,59,22849.705,22875.264,23075.089
PF00756,NA,NA,DCMut+F+I+G4,11358.979,60,22837.959,22864.481,23067.164
PF00756,NA,NA,PMB,11418.298,39,22914.596,22925.101,23063.579
PF00756,NA,NA,PMB+I,11402.165,40,22884.330,22895.411,23037.133
PF00756,NA,NA,PMB+G4,11327.051,40,22734.101,22745.182,22886.905
PF00756,NA,NA,PMB+I+G4,11322.348,41,22726.695,22738.370,22883.319
PF00756,NA,NA,PMB+F,11361.502,58,22839.003,22863.622,23060.568
PF00756,NA,NA,PMB+F+I,11344.550,59,22807.100,22832.660,23032.485
PF00756,NA,NA,PMB+F+G4,11273.698,59,22665.395,22690.955,22890.780
PF00756,NA,NA,PMB+F+I+G4,11268.507,60,22657.014,22683.535,22886.219
PF00756,NA,NA,HIVb,11820.448,39,23718.897,23729.402,23867.880
PF00756,NA,NA,HIVb+I,11793.105,40,23666.211,23677.292,23819.014
PF00756,NA,NA,HIVb+G4,11632.292,40,23344.583,23355.665,23497.387
PF00756,NA,NA,HIVb+I+G4,11625.939,41,23333.879,23345.553,23490.502
PF00756,NA,NA,HIVb+F,11725.072,58,23566.144,23590.763,23787.709
PF00756,NA,NA,HIVb+F+I,11698.367,59,23514.734,23540.294,23740.119
PF00756,NA,NA,HIVb+F+G4,11545.167,59,23208.334,23233.893,23433.719
PF00756,NA,NA,HIVb+F+I+G4,11538.675,60,23197.350,23223.871,23426.555
PF00756,NA,NA,HIVw,12397.843,39,24873.686,24884.191,25022.669
PF00756,NA,NA,HIVw+I,12367.058,40,24814.115,24825.196,24966.919
PF00756,NA,NA,HIVw+G4,12138.049,40,24356.099,24367.180,24508.902
PF00756,NA,NA,HIVw+I+G4,12131.993,41,24345.986,24357.660,24502.609
PF00756,NA,NA,HIVw+F,12024.188,58,24164.376,24188.995,24385.941
PF00756,NA,NA,HIVw+F+I,11991.673,59,24101.345,24126.905,24326.730
PF00756,NA,NA,HIVw+F+G4,11796.574,59,23711.149,23736.708,23936.534
PF00756,NA,NA,HIVw+F+I+G4,11789.775,60,23699.550,23726.072,23928.755
PF00756,NA,NA,JTTDCMut,11536.581,39,23151.162,23161.667,23300.145
PF00756,NA,NA,JTTDCMut+I,11512.145,40,23104.290,23115.371,23257.093
PF00756,NA,NA,JTTDCMut+G4,11391.555,40,22863.110,22874.191,23015.913
PF00756,NA,NA,JTTDCMut+I+G4,11385.138,41,22852.276,22863.950,23008.899
PF00756,NA,NA,JTTDCMut+F,11488.079,58,23092.157,23116.776,23313.722
PF00756,NA,NA,JTTDCMut+F+I,11463.149,59,23044.298,23069.857,23269.682
PF00756,NA,NA,JTTDCMut+F+G4,11350.342,59,22818.683,22844.243,23044.068
PF00756,NA,NA,JTTDCMut+F+I+G4,11343.527,60,22807.054,22833.576,23036.259
PF00756,NA,NA,FLU,11802.008,39,23682.017,23692.522,23831.000
PF00756,NA,NA,FLU+I,11779.761,40,23639.522,23650.603,23792.325
PF00756,NA,NA,FLU+G4,11619.883,40,23319.767,23330.848,23472.570
PF00756,NA,NA,FLU+I+G4,11615.742,41,23313.485,23325.159,23470.108
PF00756,NA,NA,FLU+F,11604.062,58,23324.124,23348.743,23545.689
PF00756,NA,NA,FLU+F+I,11580.312,59,23278.625,23304.184,23504.009
PF00756,NA,NA,FLU+F+G4,11439.411,59,22996.823,23022.382,23222.208
PF00756,NA,NA,FLU+F+I+G4,11434.220,60,22988.440,23014.961,23217.645
PF00756,NA,NA,Blosum62,11443.251,39,22964.502,22975.007,23113.485
PF00756,NA,NA,Blosum62+I,11424.481,40,22928.963,22940.044,23081.766
PF00756,NA,NA,Blosum62+G4,11344.394,40,22768.788,22779.869,22921.592
PF00756,NA,NA,Blosum62+I+G4,11338.753,41,22759.506,22771.181,22916.130
PF00756,NA,NA,Blosum62+F,11359.987,58,22835.974,22860.593,23057.539
PF00756,NA,NA,Blosum62+F+I,11340.435,59,22798.870,22824.429,23024.255
PF00756,NA,NA,Blosum62+F+G4,11267.385,59,22652.770,22678.329,22878.155
PF00756,NA,NA,Blosum62+F+I+G4,11261.103,60,22642.206,22668.727,22871.411
PF00756,NA,NA,mtMet,12400.720,39,24879.439,24889.944,25028.423
PF00756,NA,NA,mtMet+I,12374.246,40,24828.493,24839.574,24981.296
PF00756,NA,NA,mtMet+G4,12133.488,40,24346.976,24358.057,24499.779
PF00756,NA,NA,mtMet+I+G4,12129.803,41,24341.607,24353.281,24498.230
PF00756,NA,NA,mtMet+F,11683.747,58,23483.494,23508.112,23705.058
PF00756,NA,NA,mtMet+F+I,11651.656,59,23421.312,23446.872,23646.697
PF00756,NA,NA,mtMet+F+G4,11455.577,59,23029.153,23054.713,23254.538
PF00756,NA,NA,mtMet+F+I+G4,11448.925,60,23017.851,23044.372,23247.056
PF00756,NA,NA,mtVer,12410.860,39,24899.721,24910.226,25048.704
PF00756,NA,NA,mtVer+I,12379.458,40,24838.917,24849.998,24991.720
PF00756,NA,NA,mtVer+G4,12113.358,40,24306.717,24317.798,24459.520
PF00756,NA,NA,mtVer+I+G4,12108.834,41,24299.668,24311.342,24456.291
PF00756,NA,NA,mtVer+F,11819.540,58,23755.081,23779.700,23976.646
PF00756,NA,NA,mtVer+F+I,11787.956,59,23693.911,23719.471,23919.296
PF00756,NA,NA,mtVer+F+G4,11568.306,59,23254.611,23280.171,23479.996
PF00756,NA,NA,mtVer+F+I+G4,11562.700,60,23245.400,23271.922,23474.605
PF00756,NA,NA,mtInv,12492.955,39,25063.910,25074.415,25212.894
PF00756,NA,NA,mtInv+I,12469.828,40,25019.657,25030.738,25172.460
PF00756,NA,NA,mtInv+G4,12264.371,40,24608.741,24619.823,24761.545
PF00756,NA,NA,mtInv+I+G4,12260.684,41,24603.369,24615.043,24759.992
PF00756,NA,NA,mtInv+F,11593.430,58,23302.859,23327.478,23524.424
PF00756,NA,NA,mtInv+F+I,11560.654,59,23239.309,23264.868,23464.694
PF00756,NA,NA,mtInv+F+G4,11388.907,59,22895.814,22921.373,23121.199
PF00756,NA,NA,mtInv+F+I+G4,11381.145,60,22882.290,22908.812,23111.495
